"Country","isoyr","isowk","date","time","n_days","S_panelw_mean","S_panelw_max","p_proj","excess","excess_pm","theta_hat","theta_hat_l2","theta_hat_l4","theta_predicted","deaths_w","cases_w","deaths_confirmed_pm","cases_pm","wave","wave_label","wave_coarse","S_daily_mean","S_daily_max","S_daily_sd","n_obs_daily","d_lead1_pproj","d_lead1_excess","d_lead1_excpm","theta_lag1","S_lag1","week_in_country"
"AUS",2020,9,2020-03-01,9,7,0.09375,0.09375,4.84363513985419,142.800048828125,5.57205423886175,0.000595704517965663,0.000228917394402736,0.00072577109904852,0.0010019005361535,1,12,0.0390199743248569,0.468239691898283,"W1","Wave 1 (Original, spring 2020)","Wave1",0.09375,0.09375,0,7,0.415184555625003,12.39990234375,0.483843871083858,NA,NA,1
"AUS",2020,10,2020-03-08,10,7,0.09375,0.09375,0.415184555625003,12.39990234375,0.483843871083858,0.00072577109904852,0.000595704517965663,0.000975499358121422,0.00122065626721223,2,49,0.0780399486497138,1.91197874191799,"W1","Wave 1 (Original, spring 2020)","Wave1",0.09375,0.09375,0,7,1.80562375041985,52.800048828125,2.06025654962463,0.000595704517965663,0.09375,2
"AUS",2020,11,2020-03-15,11,7,0.09375,0.09375,1.80562375041985,52.800048828125,2.06025654962463,0.000975499358121422,0.00072577109904852,0.000436157025291663,0.00164066798294047,0,221,0,8.62341432579337,"W1","Wave 1 (Original, spring 2020)","Wave1",0.09375,0.09375,0,7,4.64251580652937,137.39990234375,5.36134066169097,0.00072577109904852,0.09375,3
"AUS",2020,12,2020-03-22,12,7,0.3125,0.375,4.64251580652937,137.39990234375,5.36134066169097,0.000436157025291663,0.000975499358121422,0.000181226314672356,0.000613345816816402,4,1252,0.156079897299428,48.8530078547208,"W1","Wave 1 (Original, spring 2020)","Wave1",0.3125,0.375,0.0721687836487032,7,5.62386269071076,167.39990234375,6.53193989143668,0.000975499358121422,0.09375,4
"AUS",2020,13,2020-03-29,13,7,0.55952380952381,0.583333333333333,5.62386269071076,167.39990234375,6.53193989143668,0.000181226314672356,0.000436157025291663,5.63621851359044e-05,0.00019844281456623,9,2435,0.351179768923712,95.0136374810265,"W1","Wave 1 (Original, spring 2020)","Wave1",0.55952380952381,0.583333333333333,0.0629940788348712,7,7.51503006012024,225,8.7794942230928,0.000436157025291663,0.3125,5
"AUS",2020,14,2020-04-05,14,7,0.583333333333333,0.583333333333333,7.51503006012024,225,8.7794942230928,5.63621851359044e-05,0.000181226314672356,0,6.00257271697382e-05,19,1703,0.741379512172281,66.4510162752313,"W1","Wave 1 (Original, spring 2020)","Wave1",0.583333333333333,0.583333333333333,0,7,3.30986710826288,100.60009765625,3.92541322762497,0.000181226314672356,0.55952380952381,6
"AUS",2020,15,2020-04-12,15,7,0.583333333333333,0.583333333333333,3.30986710826288,100.60009765625,3.92541322762497,0,5.63621851359044e-05,0,0,25,628,0.975499358121422,24.5045438760101,"W1","Wave 1 (Original, spring 2020)","Wave1",0.583333333333333,0.583333333333333,0,7,1.37355578006068,41.800048828125,1.6310368320512,5.63621851359044e-05,0.583333333333333,7
"AUS",2020,16,2020-04-19,16,7,0.568452380952381,0.583333333333333,1.37355578006068,41.800048828125,1.6310368320512,0,0,0,0,7,295,0.273139820273998,11.5108924258328,"W1","Wave 1 (Original, spring 2020)","Wave1",0.568452380952381,0.583333333333333,0.0101656257598806,7,0.42847725774555,13,0.50725966622314,0,0.583333333333333,8
"AUS",2020,17,2020-04-26,17,7,0.5625,0.5625,0.42847725774555,13,0.50725966622314,0,0,0,0,16,104,0.62431958919771,4.05807732978512,"W1","Wave 1 (Original, spring 2020)","Wave1",0.5625,0.5625,0,7,-1.19955825811341,-36.800048828125,-1.43593696042692,0,0.568452380952381,9
"AUS",2020,18,2020-05-03,18,7,0.5625,0.5625,-1.19955825811341,-36.800048828125,-1.43593696042692,0,0,0,0,12,108,0.468239691898283,4.21415722708454,"W1","Wave 1 (Original, spring 2020)","Wave1",0.5625,0.5625,0,7,-0.803115098254421,-25.60009765625,-0.998915153260704,0,0.5625,10
